"id","trialtype","odd","rt","incongruent","error"
1001,"congruent",1,816.11170212766,0,0
1001,"incongruent",1,1017.88333333333,1,0.0520833333333333
1002,"congruent",0,704.923076923077,0,0.0104166666666667
1002,"incongruent",0,1108.85,1,0.0625
1003,"congruent",1,921.251086956522,0,0.0208333333333333
1003,"incongruent",1,1038.07956989247,1,0.0208333333333333
1004,"congruent",0,738.489361702128,0,0.0208333333333333
1004,"incongruent",0,725.978021978022,1,0.0833333333333333
10362933,"congruent",1,899.309473684211,0,0
10362933,"incongruent",1,1057.95212765957,1,0.0729166666666667
1101,"congruent",1,875.464893617021,0,0.0208333333333333
1101,"incongruent",1,958.842553191489,1,0
1102,"congruent",0,873.806382978723,0,0
1102,"incongruent",0,1076.97659574468,1,0.03125
1104,"congruent",0,772.99247311828,0,0
1104,"incongruent",0,1004.92934782609,1,0.0520833333333333
1301,"congruent",1,813.196774193548,0,0
1301,"incongruent",1,925.581720430108,1,0.0208333333333333
1303,"congruent",1,665.747368421053,0,0.0416666666666667
1303,"incongruent",1,815.989473684211,1,0.145833333333333
1401,"congruent",1,788.2,0,0.0729166666666667
1401,"incongruent",1,985.351648351648,1,0.166666666666667
1402,"congruent",0,827.544444444444,0,0.0208333333333333
1402,"incongruent",0,1275.43191489362,1,0.03125
1404,"congruent",0,683.028421052632,0,0.0833333333333333
1404,"incongruent",0,724.547872340426,1,0.0520833333333333
1405,"congruent",1,573.65,0,0.0520833333333333
1405,"incongruent",1,634.795744680851,1,0.0833333333333333
1501,"congruent",1,921.522580645161,0,0.0208333333333333
1501,"incongruent",1,1053.32111111111,1,0.104166666666667
1502,"congruent",0,812.124468085106,0,0.0416666666666667
1502,"incongruent",0,942.175789473684,1,0.0625
1503,"congruent",1,825.46847826087,0,0.0208333333333333
1503,"incongruent",1,1091.475,1,0.125
1504,"congruent",0,973.658888888889,0,0.03125
1504,"incongruent",0,1201.02222222222,1,0.0833333333333333
1703,"congruent",1,753.435483870968,0,0.03125
1703,"incongruent",1,956.835106382979,1,0.09375
1704,"congruent",0,923.510638297872,0,0.0416666666666667
1704,"incongruent",0,1126.90543478261,1,0.21875
1801,"congruent",1,738.061052631579,0,0.0520833333333333
1801,"incongruent",1,790.801086956522,1,0.09375
1802,"congruent",0,629.011956521739,0,0.114583333333333
1802,"incongruent",0,764.894565217391,1,0.177083333333333
1803,"congruent",1,845.744086021505,0,0.0208333333333333
1803,"incongruent",1,1196.88854166667,1,0.0729166666666667
1804,"congruent",0,859.279569892473,0,0.0416666666666667
1804,"incongruent",0,839.270833333333,1,1
1902,"congruent",0,644.494736842105,0,0.0416666666666667
1902,"incongruent",0,780.010526315789,1,0.15625
1903,"congruent",1,687.618085106383,0,0.0208333333333333
1903,"incongruent",1,761.63829787234,1,0.03125
1904,"congruent",0,923.996739130435,0,0.0104166666666667
1904,"incongruent",0,1054.92446808511,1,0.0104166666666667
1905,"congruent",1,861.95652173913,0,0.0520833333333333
1905,"incongruent",1,921.901098901099,1,0.989583333333333
2001,"congruent",1,961.741489361702,0,0.15625
2001,"incongruent",1,1130.48369565217,1,0.916666666666667
2002,"congruent",0,939.223157894737,0,0.0208333333333333
2002,"incongruent",0,1270.30729166667,1,0.03125
20269796,"congruent",0,709.203296703297,0,0
20269796,"incongruent",0,878.302150537634,1,0.03125
30367485,"congruent",1,718.937634408602,0,0.0416666666666667
30367485,"incongruent",1,786.9,1,0.104166666666667
30367966,"congruent",0,657.087096774194,0,0.03125
30367966,"incongruent",0,836.727659574468,1,0.0729166666666667
30373052,"congruent",0,647.086021505376,0,0
30373052,"incongruent",0,802.677894736842,1,0.03125
30373400,"congruent",0,693.340860215054,0,0.0520833333333333
30373400,"incongruent",0,788.101075268817,1,0.03125
30373683,"congruent",1,759.636559139785,0,0
30373683,"incongruent",1,926.223655913979,1,0.0520833333333333
30383701,"congruent",1,594.965217391304,0,0.0416666666666667
30383701,"incongruent",1,667.298924731183,1,0.0416666666666667
50440843,"congruent",1,601.576842105263,0,0.0416666666666667
50440843,"incongruent",1,697.344791666667,1,0.0520833333333333
50446251,"congruent",1,646.289071038251,0,0.0416666666666667
50446251,"incongruent",1,802.234054054054,1,0.0677083333333333
50446261,"congruent",1,675.139784946237,0,0.0208333333333333
50446261,"incongruent",1,754.869565217391,1,1
50446612,"congruent",0,825.516483516484,0,0.0104166666666667
50446612,"incongruent",0,895.228260869565,1,0.09375
50451542,"congruent",0,703.517826086957,0,0
50451542,"incongruent",0,941.783076923077,1,0.0416666666666667
50451808,"congruent",0,569.586956521739,0,0.0520833333333333
50451808,"incongruent",0,654.369565217391,1,0.0625
50459376,"congruent",0,730.012903225806,0,0.0104166666666667
50459376,"incongruent",0,821.747252747253,1,0.0520833333333333
